epoch,loss,val_loss
0,6.649441376915376,2.2724349359927487
1,2.8340937569522273,2.2923179887755434
2,2.8212330452076406,2.2932200656563793
3,2.8167729065934286,2.282317366643429
4,2.8105909848832686,2.2990058519873244
5,2.804304181548994,2.2696631960560687
6,2.8015546861232217,2.3041734115185424
7,2.7983899237228016,2.262421536579738
8,2.793917353906622,2.286512971598332
9,2.790685524905964,2.2726654974132594
10,2.7880065521070714,2.27712113872737
11,2.7854037388135953,2.2755763755373506
12,2.7847033900181346,2.265252466598245
13,2.781009071790877,2.270874625872414
14,2.777249001198597,2.283512003458171
15,2.775301231236981,2.258436889775207
16,2.772898783808734,2.3055887426520982
17,2.7725903011738686,2.26313535790959
18,2.770589962082152,2.2590519322810105
19,2.7675963682701346,2.2682097226259246
20,2.7645735600544343,2.2603905712348373
21,2.7638623640907594,2.2797399033002215
22,2.7687159405437325,2.254137909087947
23,2.7661753297308236,2.2700808162228494
24,2.7611411978927216,2.250719407934008
25,2.7614500331462417,2.2385399925714693
26,2.762234028181531,2.2756201839675603
27,2.75787420576484,2.245421923826381
28,2.7573010428450915,2.249199274922944
29,2.7559233219344654,2.2598790437728566
30,2.7539480064835864,2.249393775859031
31,2.7547553315247355,2.257423471743317
32,2.7556221314316325,2.2459165414132687
33,2.7505792583137447,2.235599347639031
34,2.750889652863668,2.251978433198478
35,2.7515232627481527,2.251199041566039
36,2.750265404620398,2.274075407269955
37,2.747475188696874,2.2873258305036908
38,2.7500469168524613,2.2527714423201193
39,2.750396423814609,2.250510675370228
40,2.74749894830065,2.2393516028624982
41,2.746552452364964,2.236589935396332
42,2.745822039470205,2.2996718094356012
43,2.7451025084417306,2.248016745795826
44,2.744922726524806,2.2532450403926796
45,2.744802608192339,2.2627849141954255
46,2.7418940292955636,2.2892101424764397
47,2.7417191585755223,2.2545431080376117
48,2.743844039229533,2.269648380854701
49,2.7440839284369796,2.250286965034491
50,2.7438861558096797,2.241475745615646
51,2.7413578841187496,2.2551417709626955
52,2.7417456182955573,2.232673255502119
53,2.7424295869438744,2.2892019947908016
54,2.7412111745052172,2.2575302215891333
55,2.738473502461914,2.2660181667743093
56,2.73958339583076,2.2452127578361787
57,2.739658772119941,2.2448684653020274
58,2.7407791396462216,2.252423311955265
59,2.738900673620103,2.2667926025732155
60,2.7346941107440994,2.2521427659717235
61,2.735745668017255,2.254931488004476
62,2.734864353793068,2.256580530111532
63,2.7365570400838903,2.319357161811972
64,2.733510296258422,2.2433584665457915
65,2.736933096087037,2.247980955253361
66,2.737170266855634,2.236166993445519
67,2.7404142178329884,2.2408418327171398
68,2.7322767638456087,2.242148022660029
69,2.7368421158708185,2.2729938329604
70,2.7342076251214067,2.2631588964894953
71,2.732551702785051,2.246264146436605
72,2.7351074293066335,2.2965909816485937
